coord,z,M_black_hole,L_disk,magfield
1321.0+2215, 0.94, 5.01e+08, 3.98e+45, 2.00
1322.8-0938, 1.86, 7.94e+08, 3.02e+46, 1.90
1326.8+2211, 1.40, 2.00e+09, 2.00e+46, 2.70
1332.0-0508, 2.15, 3.02e+09, 6.03e+46, 3.00
1332.8+2723, 2.13, 3.02e+09, 3.98e+46, 1.10
1337.6-1257, 0.54, 1.00e+08, 3.02e+45, 1.90
1341.9-2053, 1.58, 7.94e+08, 3.02e+46, 1.60
1344.2-1724, 2.49, 1.29e+09, 1.10e+46, 2.10
1349.6-1133, 0.34, 5.01e+08, 3.02e+45, 2.00
1350.8+3035, 0.71, 3.02e+08, 6.03e+45, 2.80
1357.6+7643, 1.58, 5.01e+08, 3.98e+45, 3.10
1416.0+1325, 0.25, 5.01e+08, 3.80e+43, 0.20
1419.8+3819, 1.83, 2.00e+09, 2.51e+46, 1.30
1419.9+5425, 0.15, 5.01e+08, 3.39e+43, 1.40
1427.9-4206, 1.55, 2.00e+09, 1.00e+47, 2.70
1434.6+1951, 1.38, 2.00e+09, 2.00e+46, 2.00
1436.8+2322, 1.54, 6.03e+08, 1.29e+46, 1.80
1438.7+3710, 2.40, 3.80e+08, 2.29e+46, 2.80
1440.1+4955, 0.17, 5.01e+08, 1.00e+44, 1.60
1454.2-3751, 0.31, 5.01e+08, 1.20e+44, 0.90
1457.4-3539, 1.42, 2.00e+09, 3.98e+46, 2.90
1504.4+1029, 1.83, 8.71e+08, 1.51e+46, 2.90
1505.1+0326, 0.41, 2.57e+07, 6.03e+44, 0.50
1506.1+3728, 0.67, 5.01e+08, 2.00e+44, 0.30
1516.9+1926, 1.07, 5.01e+08, 3.98e+44, 2.70
1517.6-2422, 0.05, 5.01e+08, 1.51e+43, 2.10
1522.1+3144, 1.49, 8.32e+08, 7.94e+45, 1.60
1522.6-2730, 1.29, 5.01e+08, 3.39e+44, 3.00
1534.5+0128, 1.43, 1.70e+09, 1.29e+46, 2.40
1539.5+2746, 2.19, 3.02e+08, 4.27e+45, 2.00
1540.8+1449, 0.60, 5.01e+08, 1.82e+44, 2.00
1549.4+0237, 0.41, 4.68e+08, 5.01e+45, 2.20
1550.5+0526, 1.42, 1.51e+09, 2.00e+46, 1.90
1555.7+1111, 0.36, 5.01e+08, 3.98e+44, 0.80
1604.6+5714, 0.72, 1.00e+09, 7.08e+45, 1.90
1608.6+1029, 1.23, 5.89e+08, 1.20e+46, 2.60
1613.8+3410, 1.40, 1.20e+09, 2.88e+46, 1.80
1617.7-7717, 1.71, 7.08e+09, 5.01e+46, 2.50
1625.7-2527, 0.79, 5.01e+08, 5.50e+45, 3.00
1635.2+3809, 1.81, 3.02e+09, 8.91e+46, 2.40
1637.7+4715, 0.73, 3.72e+08, 3.80e+45, 2.00
1637.9+5719, 0.75, 5.01e+08, 3.47e+46, 3.30
1640.6+3945, 1.66, 4.07e+09, 2.00e+46, 2.30
1642.9+3950, 0.59, 7.59e+08, 6.03e+45, 2.30
1653.9+3945, 0.03, 5.01e+08, 1.70e+43, 0.10
1700.1+6829, 0.30, 5.01e+08, 3.02e+44, 2.20
1703.6-6211, 1.75, 2.00e+09, 6.03e+46, 1.20
1709.6+4318, 1.03, 8.32e+07, 1.10e+45, 2.60
1715.7+6837, 0.78, 5.01e+08, 5.37e+44, 5.10
1719.2+1744, 0.14, 5.01e+08, 4.90e+43, 1.40
1725.0+1152, 0.02, 5.01e+08, 1.58e+42, 0.10
1727.1+4531, 0.72, 3.98e+08, 7.94e+45, 3.00
1728.3+5013, 0.06, 5.01e+08, 6.46e+42, 0.20
1728.5+0428, 0.29, 1.00e+09, 1.51e+45, 2.00
1733.0-1305, 0.90, 5.01e+08, 2.00e+46, 3.50
1734.3+3858, 0.98, 9.33e+07, 1.00e+45, 5.50
1739.4+4955, 1.54, 5.01e+08, 5.62e+45, 3.00
1740.3+5211, 1.38, 5.01e+08, 2.00e+46, 4.50
1744.3-0353, 1.06, 5.01e+08, 3.02e+46, 4.90
1748.0+3405, 2.76, 5.01e+08, 3.98e+46, 3.60
1748.6+7005, 0.77, 5.01e+08, 3.72e+45, 1.60
1751.5+0939, 0.32, 5.01e+08, 3.47e+44, 2.30
1800.5+7827, 0.68, 1.58e+09, 3.89e+45, 2.30
1801.5+4403, 0.66, 1.00e+09, 6.03e+45, 0.90
1806.7+6949, 0.05, 2.29e+07, 7.76e+42, 2.60
1807.8-5011, 1.61, 1.00e+09, 7.94e+45, 2.60
1824.2+5649, 0.66, 7.24e+07, 1.00e+44, 3.10
1842.8+6810, 0.47, 1.00e+08, 1.20e+45, 1.80
1848.4+3216, 0.80, 1.10e+08, 3.80e+45, 3.30
1849.2+6705, 0.66, 2.00e+09, 3.02e+45, 2.00
1852.4+4856, 1.25, 5.01e+08, 1.00e+45, 2.50
1902.9-6745, 0.25, 2.00e+08, 7.08e+43, 3.50
1911.2-2006, 1.12, 5.01e+08, 1.29e+46, 2.40
1912.9-8008, 1.76, 5.01e+08, 1.00e+46, 2.30
1917.7-1921, 0.14, 5.01e+08, 7.08e+43, 0.30
1923.5-2104, 0.87, 1.00e+09, 1.00e+46, 2.00
1924.8-2914, 0.35, 5.01e+08, 1.00e+45, 2.00
1937.0-3956, 0.96, 1.00e+09, 1.82e+46, 2.20
1954.8-1122, 0.68, 2.00e+09, 3.98e+45, 2.50
