B,gamma_min,gamma_max,alpha,delta,chi_squared
0.1,1630.0,27800.0,2.0,3.56,0.2109194589306544
0.1,1630.0,27800.0,2.0,4.11,0.1528233424516872
0.1,1630.0,27800.0,2.0,4.67,0.1094615696070126
0.1,1630.0,27800.0,2.0,5.22,0.0779148764075418
0.1,1630.0,27800.0,2.0,5.78,0.0540707460794871
0.1,1630.0,27800.0,2.0,6.33,0.0368044060388643
0.1,1630.0,27800.0,2.0,6.89,0.0241705248742013
0.1,1630.0,27800.0,2.0,7.44,0.0156364495963961
0.1,1630.0,27800.0,2.0,8.0,0.0101615094085749
0.1,1630.0,34100.0,2.0,3.0,0.2813500372943455
0.1,1630.0,34100.0,2.0,3.56,0.2016971855830171
0.1,1630.0,34100.0,2.0,4.11,0.1455710990435331
0.1,1630.0,34100.0,2.0,4.67,0.1037389422744976
0.1,1630.0,34100.0,2.0,5.22,0.0733660069663226
0.1,1630.0,34100.0,2.0,5.78,0.0504722746685125
0.1,1630.0,34100.0,2.0,6.33,0.0339499477153681
0.1,1630.0,34100.0,2.0,6.89,0.0218843681187164
0.1,1630.0,34100.0,2.0,7.44,0.0137801122475834
0.1,1630.0,34100.0,2.0,8.0,0.0086368507013842
0.1,1630.0,41900.0,2.0,3.0,0.2717941119458301
0.1,1630.0,41900.0,2.0,3.56,0.1944024055517727
0.1,1630.0,41900.0,2.0,4.11,0.1399010977781519
0.1,1630.0,41900.0,2.0,4.67,0.0993195116586233
0.1,1630.0,41900.0,2.0,5.22,0.0698971237516248
0.1,1630.0,41900.0,2.0,5.78,0.0477650913396857
0.1,1630.0,41900.0,2.0,6.33,0.0318399769038783
0.1,1630.0,41900.0,2.0,6.89,0.0202197003637891
0.1,1630.0,41900.0,2.0,7.44,0.0124501023740844
0.1,1630.0,41900.0,2.0,8.0,0.0075383674404807
0.1,1630.0,51400.0,2.0,3.0,0.2643388308045475
0.1,1630.0,51400.0,2.0,3.56,0.1887904175874364
0.1,1630.0,51400.0,2.0,4.11,0.1356007360969288
0.1,1630.0,51400.0,2.0,4.67,0.0960179227271486
0.1,1630.0,51400.0,2.0,5.22,0.0673456884606686
0.1,1630.0,51400.0,2.0,5.78,0.0458067874725681
0.1,1630.0,51400.0,2.0,6.33,0.030339723590053
0.1,1630.0,51400.0,2.0,6.89,0.0190670025834954
0.1,1630.0,51400.0,2.0,7.44,0.0115355042945185
0.1,1630.0,51400.0,2.0,8.0,0.0067925680537038
0.1,1630.0,63100.0,2.0,3.0,0.2585263997546902
0.1,1630.0,63100.0,2.0,3.56,0.1844919187755174
0.1,1630.0,63100.0,2.0,4.11,0.1323667582580045
0.1,1630.0,63100.0,2.0,4.67,0.0935837870846601
0.1,1630.0,63100.0,2.0,5.22,0.0655031923824953
0.1,1630.0,63100.0,2.0,5.78,0.0444239072148095
0.1,1630.0,63100.0,2.0,6.33,0.0293045301577653
0.1,1630.0,63100.0,2.0,6.89,0.0183024502196448
0.1,1630.0,63100.0,2.0,7.44,0.0109535618917796
0.1,1630.0,63100.0,2.0,8.0,0.00655848484898
0.1,2070.0,10000.0,2.0,3.0,0.39370614843199
0.1,2070.0,10000.0,2.0,3.56,0.2900167794979969
0.1,2070.0,10000.0,2.0,4.11,0.2163593690841146
0.1,2070.0,10000.0,2.0,4.67,0.1608071218784899
0.1,2070.0,10000.0,2.0,5.22,0.1198042104385117
0.1,2070.0,10000.0,2.0,5.78,0.0882067566013681
0.1,2070.0,10000.0,2.0,6.33,0.0647102093423718
0.1,2070.0,10000.0,2.0,6.89,0.046823687919477
0.1,2070.0,10000.0,2.0,7.44,0.0339581510301877
0.1,2070.0,10000.0,2.0,8.0,0.0247396333380859
0.1,2070.0,12300.0,2.0,3.0,0.3604083171724874
0.1,2070.0,12300.0,2.0,3.56,0.2633838848269812
0.1,2070.0,12300.0,2.0,4.11,0.1946709195390662
0.1,2070.0,12300.0,2.0,4.67,0.1430447490419105
0.1,2070.0,12300.0,2.0,5.22,0.1051245996421552
0.1,2070.0,12300.0,2.0,5.78,0.07608346133435
0.1,2070.0,12300.0,2.0,6.33,0.0546464118353104
0.1,2070.0,12300.0,2.0,6.89,0.0384753501665281
0.1,2070.0,12300.0,2.0,7.44,0.0270066622071148
0.1,2070.0,12300.0,2.0,8.0,0.0189778349051439
0.1,2070.0,15100.0,2.0,3.0,0.3339277729303908
0.1,2070.0,15100.0,2.0,3.56,0.2423839037022688
0.1,2070.0,15100.0,2.0,4.11,0.1777089597213419
0.1,2070.0,15100.0,2.0,4.67,0.1292720443865576
0.1,2070.0,15100.0,2.0,5.22,0.093843874263973
0.1,2070.0,15100.0,2.0,5.78,0.0668594480890172
0.1,2070.0,15100.0,2.0,6.33,0.0470867769953363
0.1,2070.0,15100.0,2.0,6.89,0.0322769332847866
0.1,2070.0,15100.0,2.0,7.44,0.0219224640545104
0.1,2070.0,15100.0,2.0,8.0,0.0148130598128582
0.1,2070.0,18500.0,2.0,3.0,0.3128736905993873
0.1,2070.0,18500.0,2.0,3.56,0.2258273753230086
0.1,2070.0,18500.0,2.0,4.11,0.1644471544751561
0.1,2070.0,18500.0,2.0,4.67,0.1185987915131688
0.1,2070.0,18500.0,2.0,5.22,0.0851826616743129
0.1,2070.0,18500.0,2.0,5.78,0.0598500476406944
0.1,2070.0,18500.0,2.0,6.33,0.041407632659367
0.1,2070.0,18500.0,2.0,6.89,0.0276916739626787
0.1,2070.0,18500.0,2.0,7.44,0.0182097981102333
0.1,2070.0,18500.0,2.0,8.0,0.0118204117625702
0.1,2070.0,22700.0,2.0,3.0,0.2958733005651914
0.1,2070.0,22700.0,2.0,3.56,0.2125769707896286
0.1,2070.0,22700.0,2.0,4.11,0.1539277953766247
0.1,2070.0,22700.0,2.0,4.67,0.1102126529045392
0.1,2070.0,22700.0,2.0,5.22,0.0784446144354495
0.1,2070.0,22700.0,2.0,5.78,0.0544564821375832
0.1,2070.0,22700.0,2.0,6.33,0.0370895067481327
0.1,2070.0,22700.0,2.0,6.89,0.0242691878275473
0.1,2070.0,22700.0,2.0,7.44,0.0154722724820122
0.1,2070.0,22700.0,2.0,8.0,0.0096576963449228
0.1,2070.0,27800.0,2.0,3.0,0.2824204693175602
0.1,2070.0,27800.0,2.0,3.56,0.2021940193244842
0.1,2070.0,27800.0,2.0,4.11,0.1457659942170278
0.1,2070.0,27800.0,2.0,4.67,0.1037740063987621
0.1,2070.0,27800.0,2.0,5.22,0.073327598097
0.1,2070.0,27800.0,2.0,5.78,0.0504092829622889
0.1,2070.0,27800.0,2.0,6.33,0.0338908489614933
0.1,2070.0,27800.0,2.0,6.89,0.0217757387772654
0.1,2070.0,27800.0,2.0,7.44,0.0135157290124403
0.1,2070.0,27800.0,2.0,8.0,0.0081343297413076
0.1,2070.0,34100.0,2.0,3.0,0.2716442838711767
0.1,2070.0,34100.0,2.0,3.56,0.193970024163914
0.1,2070.0,34100.0,2.0,4.11,0.1393745195310956
0.1,2070.0,34100.0,2.0,4.67,0.0987925966961333
0.1,2070.0,34100.0,2.0,5.22,0.0694180853776002
0.1,2070.0,34100.0,2.0,5.78,0.0473590405704838
0.1,2070.0,34100.0,2.0,6.33,0.0315148597663483
0.1,2070.0,34100.0,2.0,6.89,0.0199534972556555
0.1,2070.0,34100.0,2.0,7.44,0.0121254510187037
0.1,2070.0,34100.0,2.0,8.0,0.0070631765914997
0.1,2070.0,41900.0,2.0,3.0,0.2630919720342861
0.1,2070.0,41900.0,2.0,3.56,0.1875313176513387
0.1,2070.0,41900.0,2.0,4.11,0.1344394621372291
0.1,2070.0,41900.0,2.0,4.67,0.095002898160573
0.1,2070.0,41900.0,2.0,5.22,0.0664893240019807
0.1,2070.0,41900.0,2.0,5.78,0.0451118235470508
0.1,2070.0,41900.0,2.0,6.33,0.0297948972349008
0.1,2070.0,41900.0,2.0,6.89,0.0186596287249644
0.1,2070.0,41900.0,2.0,7.44,0.0111656366914884
0.1,2070.0,41900.0,2.0,8.0,0.0063396658321135
0.1,2070.0,51400.0,2.0,3.0,0.2564938322746515
0.1,2070.0,51400.0,2.0,3.56,0.1826479274319814
0.1,2070.0,51400.0,2.0,4.11,0.1307622870958258
0.1,2070.0,51400.0,2.0,4.67,0.092232977369005
0.1,2070.0,51400.0,2.0,5.22,0.064391617765082
0.1,2070.0,51400.0,2.0,5.78,0.0435375321750877
0.1,2070.0,51400.0,2.0,6.33,0.0286177994082979
0.1,2070.0,51400.0,2.0,6.89,0.017796306470828
0.1,2070.0,51400.0,2.0,7.44,0.0105416551187269
0.1,2070.0,51400.0,2.0,8.0,0.0058987619026286
0.1,2070.0,63100.0,2.0,3.0,0.2514282580746803
0.1,2070.0,63100.0,2.0,3.56,0.1789825073133782
0.1,2070.0,63100.0,2.0,4.11,0.128068144829012
0.1,2070.0,63100.0,2.0,4.67,0.0902577408239632
0.1,2070.0,63100.0,2.0,5.22,0.0629390934954549
0.1,2070.0,63100.0,2.0,5.78,0.0424829636504241
0.1,2070.0,63100.0,2.0,6.33,0.0278570830176106
0.1,2070.0,63100.0,2.0,6.89,0.0172599816400005
0.1,2070.0,63100.0,2.0,7.44,0.0101985976461865
0.1,2070.0,63100.0,2.0,8.0,0.0059450534610907
0.1,2640.0,10000.0,2.0,3.0,0.3790524107685449
0.1,2640.0,10000.0,2.0,3.56,0.2778648363713515
0.1,2640.0,10000.0,2.0,4.11,0.2061843162688596
0.1,2640.0,10000.0,2.0,4.67,0.1522779644151808
0.1,2640.0,10000.0,2.0,5.22,0.1126163188868343
0.1,2640.0,10000.0,2.0,5.78,0.0821660892723427
0.1,2640.0,10000.0,2.0,6.33,0.0596054031665809
0.1,2640.0,10000.0,2.0,6.89,0.0424089596802533
0.1,2640.0,10000.0,2.0,7.44,0.0300504742562073
0.1,2640.0,10000.0,2.0,8.0,0.0211733379063463
0.1,2640.0,12300.0,2.0,3.0,0.3479528840157845
0.1,2640.0,12300.0,2.0,3.56,0.2531703271266249
0.1,2640.0,12300.0,2.0,4.11,0.1862085551641704
0.1,2640.0,12300.0,2.0,4.67,0.1360284767615687
0.1,2640.0,12300.0,2.0,5.22,0.099278352941503
0.1,2640.0,12300.0,2.0,5.78,0.0712309948512836
0.1,2640.0,12300.0,2.0,6.33,0.0506165684995789
0.1,2640.0,12300.0,2.0,6.89,0.0350696909556312
0.1,2640.0,12300.0,2.0,7.44,0.0240314620510801
0.1,2640.0,12300.0,2.0,8.0,0.0162923567700736
0.1,2640.0,15100.0,2.0,3.0,0.3232676446882509
0.1,2640.0,15100.0,2.0,3.56,0.233732988363592
0.1,2640.0,15100.0,2.0,4.11,0.1706149706692608
0.1,2640.0,15100.0,2.0,4.67,0.1234549327078034
0.1,2640.0,15100.0,2.0,5.22,0.0890529517156933
0.1,2640.0,15100.0,2.0,5.78,0.0629340574082047
0.1,2640.0,15100.0,2.0,6.33,0.0438736553169647
0.1,2640.0,15100.0,2.0,6.89,0.0296403363317698
0.1,2640.0,15100.0,2.0,7.44,0.0196550336843383
0.1,2640.0,15100.0,2.0,8.0,0.0128002867731876
0.1,2640.0,18500.0,2.0,3.0,0.3036822062132225
0.1,2640.0,18500.0,2.0,3.56,0.218444138092255
0.1,2640.0,18500.0,2.0,4.11,0.1584557258332725
0.1,2640.0,18500.0,2.0,4.67,0.1137414194814457
0.1,2640.0,18500.0,2.0,5.22,0.0812305174434404
0.1,2640.0,18500.0,2.0,5.78,0.0566558238592845
0.1,2640.0,18500.0,2.0,6.33,0.0388321752294173
0.1,2640.0,18500.0,2.0,6.89,0.0256375285409135
0.1,2640.0,18500.0,2.0,7.44,0.0164963515041489
0.1,2640.0,18500.0,2.0,8.0,0.0103210460561804
0.1,2640.0,22700.0,2.0,3.0,0.2879112106945276
0.1,2640.0,22700.0,2.0,3.56,0.2062483831252
0.1,2640.0,22700.0,2.0,4.11,0.1488484840288204
0.1,2640.0,22700.0,2.0,4.67,0.1061445070031767
0.1,2640.0,22700.0,2.0,5.22,0.0751777841543834
0.1,2640.0,22700.0,2.0,5.78,0.051855220690756
0.1,2640.0,22700.0,2.0,6.33,0.0350268073688887
